AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2019;101;Torino;17;Economia Aziendale;TORINO;1;F;7
2019;101;Torino;LM-56;Economics / Economia;TORINO;1;F;7
2019;101;Torino;LM-38;Comunicazione Internazionale per il Turismo;TORINO;1;M;7
2019;101;Torino;LM-39;Scienze Linguistiche;TORINO;1;M;7
2019;101;Torino;LM-82;Metodi Statistici ed Economici per le Decisioni;TORINO;1;F;7
2019;101;Torino;LM-06;Biotecnologie Vegetali;GRUGLIASCO;1;M;7
2019;101;Torino;LM/SNT4;Scienze delle Professioni Sanitarie della Prevenzione;TORINO;1;M;7
2019;101;Torino;LM-02;Archeologia e Storia Antica;TORINO;1;M;7
2019;101;Torino;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);AOSTA;7;F;7
2019;102;Torino Politecnico;LM-27;Communications And Computer Networks Engineering (Ingegneria Telematica e delle Comunicazioni);TORINO;1;F;7
2019;201;Piemonte Orientale;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);NOVARA;3;M;7
2019;201;Piemonte Orientale;L-16;Scienze Politiche, Economiche, Sociali e dell'Amministrazione;ALESSANDRIA;6;M;7
2019;201;Piemonte Orientale;LM-14;Filologia Moderna, Classica e Comparata;VERCELLI;2;M;7
2019;201;Piemonte Orientale;LM-54;Scienze Chimiche;ALESSANDRIA;6;F;7
2019;201;Piemonte Orientale;LM-78;Filosofia;VERCELLI;2;F;7
2019;1001;Genova;18-bis;Scienze della Formazione Primaria;GENOVA;10;F;7
2019;1001;Genova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);IMPERIA;8;M;7
2019;1001;Genova;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);GENOVA;10;F;7
2019;1001;Genova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);CHIAVARI;10;M;7
2019;1001;Genova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);GENOVA;10;F;7
2019;1001;Genova;L/SNT3;Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista);GENOVA;10;F;7
2019;1001;Genova;LM-92;Digital Humanities - Comunicazione e Nuovi Media;SAVONA;9;M;7
2019;1202;Insubria;46/S;Laurea Specialistica in Medicina e Chirurgia;VARESE;12;M;7
2019;1202;Insubria;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);VARESE;12;M;7
2019;1001;Genova;LM-67;Scienze e Tecniche dell'Attivita Motoria Preventiva e Adattata;GENOVA;10;M;7
2019;1001;Genova;LM-38;Lingue e Letterature Moderne per i Servizi Culturali;GENOVA;10;M;7
2019;1001;Genova;LM-40;Matematica;GENOVA;10;F;7
2019;1001;Genova;LM-31;Ingegneria Gestionale;SAVONA;9;F;7
2019;1001;Genova;L-34;Scienze Geologiche;GENOVA;10;F;7
2019;1001;Genova;L-39;Servizio Sociale;GENOVA;10;M;7
2019;1001;Genova;LM-13;Chimica e Tecnologia Farmaceutiche;GENOVA;10;M;7
2019;1001;Genova;L-09;Ingegneria Chimica;GENOVA;10;F;7
2019;1501;Milano;L/SNT2;Podologia (Abilitante alla Professione Sanitaria di Podologo);MILANO;15;M;7
2019;1501;Milano;L/SNT3;Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare);MILANO;15;F;7
2019;1501;Milano;L/SNT3;Tecniche Ortopediche (Abilitante alla Professione Sanitaria di Tecnico Ortopedico);MILANO;15;M;7
2019;1202;Insubria;LM-40;Matematica;COMO;13;F;7
2019;1202;Insubria;L-31;Informatica;VARESE;12;F;7
2019;1202;Insubria;LM-77;Economia, Diritto e Finanza D’Impresa (Edifi);VARESE;12;F;7
2019;1202;Insubria;LM-77;Economia, Diritto e Finanza D’Impresa (Edifi);VARESE;12;M;7
