ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2020;1001;Genova;L-02;Biotecnologie;GENOVA;10;M;9
2020;1001;Genova;L-31;Informatica;GENOVA;10;F;9
2020;1202;Insubria;LM-46;Odontoiatria e Protesi Dentaria;VARESE;12;F;9
2020;1202;Insubria;LM-06;Biomedical Sciences (Scienze Biomediche);BUSTO ARSIZIO;12;F;9
2020;1202;Insubria;L-30;Fisica;COMO;13;F;9
2020;1001;Genova;LM-32;Robotics Engineering;GENOVA;10;F;9
2020;1001;Genova;LM-35;Ingegneria Civile e Ambientale;GENOVA;10;M;9
2020;1001;Genova;LM-53ante21;Scienza e Ingegneria dei Materiali;GENOVA;10;F;9
2020;1001;Genova;LM-56;Economia e Istituzioni Finanziarie;GENOVA;10;F;9
2020;101;Torino;LM-81;Cooperazione, Sviluppo e Innovazione nell’ Economia Globale;TORINO;1;F;9
2020;101;Torino;LM-39;Scienze Linguistiche;TORINO;1;M;9
2020;101;Torino;LM-71;Chimica Industriale;TORINO;1;M;9
2020;101;Torino;LM-69;Scienze Agrarie;GRUGLIASCO;1;F;9
2020;102;Torino Politecnico;LM-35;Petroleum And Mining Engineering (Ingegneria del Petrolio e Mineraria);TORINO;1;F;9
2020;201;Piemonte Orientale;LM-54;Scienze Chimiche;ALESSANDRIA;6;F;9
2020;401;Bra Scienze Gastronomiche;LM/GASTR;Food Innovation & Management;BRA;4;M;9
2020;401;Bra Scienze Gastronomiche;LM-49;Gestione del Patrimonio Gastronomico e Turistico;BRA;4;M;9
2020;102;Torino Politecnico;LM-28;Ingegneria Elettrica;TORINO;1;F;9
2020;102;Torino Politecnico;LM-27;Ict For Smart Societies (Ict per la Società del Futuro);TORINO;1;F;9
2020;1801;Pavia;L-34;Scienze Geologiche;PAVIA;18;F;9
2020;1801;Pavia;LM-45;Musicologia;CREMONA;19;F;9
2020;1801;Pavia;LM-46;Odontoiatria e Protesi Dentaria;PAVIA;18;M;9
2020;1801;Pavia;L/SNT3;Dietistica (Abilitante alla Professione Sanitaria di Dietista);PAVIA;18;F;9
2020;1801;Pavia;L-09;Ingegneria Industriale;PAVIA;18;F;9
2020;1701;Brescia;L/SNT2;Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica);BRESCIA;17;F;9
2020;1701;Brescia;LM/SNT1;Scienze Infermieristiche e Ostetriche;BRESCIA;17;F;9
2020;1701;Brescia;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);BRESCIA;17;F;9
2020;1601;Bergamo;LM-81;Diritti dell'Uomo ed Etica della Cooperazione Internazionale;BERGAMO;16;M;9
2020;2201;Trento;LM-52;International Security Studies;TRENTO;22;M;9
2020;2201;Trento;L-30;Fisica;TRENTO;22;F;9
2020;2101;Bolzano;LM-73;Gestione Sostenibile dell'Ambiente Montano;BOLZANO - BOZEN;21;M;9
2020;1801;Pavia;LM-52;Studi dell'Africa e dell'Asia;PAVIA;18;M;9
2020;2301;Verona;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);VERONA;23;F;9
2020;2201;Trento;LM-77;Innovation Management - Management dell'Innovazione;TRENTO;22;M;9
2020;2201;Trento;LM-88;Sociology And Social Research - Sociologia e Ricerca Sociale;TRENTO;22;F;9
2020;2301;Verona;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);BOLZANO - BOZEN;21;M;9
2020;2301;Verona;LM-39;Linguistics;VERONA;23;F;9
2020;2301;Verona;LM-56;Economics;VERONA;23;F;9
2020;2301;Verona;LM-51;Formazione e Sviluppo delle Risorse Umane;VERONA;23;M;9
