"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",5992,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",29647,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",8229,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",33739,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",30833,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",44307,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",2079,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",10706,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",40502,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",9436,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",29647,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",26112,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",15345,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",40502,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",49346,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",8229,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",36931,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",44307,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",2079,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",5992,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",36931,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",79620,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",4584,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",4584,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",30833,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",79620,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",9674,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","99","totale","2020","2020",5440,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y2","2 anni","1","nubile/celibe","2020","2020",9674,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",6381,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",46590,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",49478,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",2026,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",38142,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",8615,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",9971,,
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",9971,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",6381,,
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",49478,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",35347,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",8615,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",35347,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",4737,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",38142,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",951,,
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",2026,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",82300,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",3968,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",951,,
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",3968,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",15628,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",9926,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",10278,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",5541,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",5541,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",30597,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",32053,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",11402,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",10423,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",82300,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",4737,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",27031,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",10278,,
